ics;dcs;l2cs;icw;dcw;l2cw;iwidth;cbs;pn;energy;cycles;
2048;2048;32768;1;2;8;4;16;8;3.80126;5.63427e+07;
2048;2048;32768;1;2;8;4;16;16;3.76401;2.71116e+07;
2048;2048;32768;1;2;8;8;16;2;10.3169;1.1946e+08;
2048;2048;32768;1;2;8;8;16;4;10.3448;6.17202e+07;
2048;2048;32768;1;2;8;8;16;8;10.3696;3.17695e+07;
2048;2048;32768;1;2;8;8;16;16;10.482;1.79033e+07;
2048;2048;32768;1;4;2;1;16;2;3.83252;1.21571e+09;
2048;2048;32768;1;4;2;1;16;4;3.64882;5.71719e+08;
2048;2048;32768;1;4;2;1;16;8;3.15152;2.36951e+08;
2048;2048;32768;1;4;2;1;16;16;2.62102;9.24651e+07;
2048;2048;32768;1;4;2;2;16;2;3.16057;6.9563e+08;
2048;2048;32768;1;4;2;2;16;4;3.05155;3.29725e+08;
2048;2048;32768;1;4;2;2;16;8;2.63716;1.30618e+08;
2048;2048;32768;1;4;2;2;16;16;2.44068;5.71709e+07;
2048;2048;32768;1;4;2;4;16;2;3.84226;4.14498e+08;
2048;2048;32768;1;4;2;4;16;4;3.74536;1.95625e+08;
2048;2048;32768;1;4;2;4;16;8;3.67909;9.36823e+07;
2048;2048;32768;1;4;2;4;16;16;3.43134;3.94732e+07;
2048;2048;32768;1;4;2;8;16;2;8.40079;1.91374e+08;
2048;2048;32768;1;4;2;8;16;4;8.3995;9.55717e+07;
2048;2048;32768;1;4;2;8;16;8;8.31641;4.47003e+07;
2048;2048;32768;1;4;2;8;16;16;8.51237;2.58784e+07;
2048;2048;32768;1;4;4;1;16;2;2.72496;7.7871e+08;
2048;2048;32768;1;4;4;1;16;4;2.29382;3.04949e+08;
2048;2048;32768;1;4;4;1;16;8;2.12386;1.3587e+08;
2048;2048;32768;1;4;4;1;16;16;1.95109;5.94893e+07;
2048;2048;32768;1;4;4;2;16;2;2.52344;4.83046e+08;
2048;2048;32768;1;4;4;2;16;4;2.20354;1.88971e+08;
2048;2048;32768;1;4;4;2;16;8;2.0907;8.52617e+07;
2048;2048;32768;1;4;4;2;16;16;1.96385;3.74403e+07;
2048;2048;32768;1;4;4;4;16;2;3.39049;3.04939e+08;
2048;2048;32768;1;4;4;4;16;4;3.20214;1.30162e+08;
2048;2048;32768;1;4;4;4;16;8;3.12979;6.08491e+07;
2048;2048;32768;1;4;4;4;16;16;3.12856;3.0395e+07;
2048;2048;32768;1;4;4;8;16;2;8.09243;1.45471e+08;
2048;2048;32768;1;4;4;8;16;4;8.06786;7.10012e+07;
2048;2048;32768;1;4;4;8;16;8;8.11004;3.70394e+07;
2048;2048;32768;1;4;4;8;16;16;8.1738;1.96532e+07;
2048;2048;32768;1;4;8;1;16;2;2.68804;7.48564e+08;
2048;2048;32768;1;4;8;1;16;4;2.37934;3.13766e+08;
2048;2048;32768;1;4;8;1;16;8;2.12935;1.32504e+08;
2048;2048;32768;1;4;8;1;16;16;1.90595;5.53688e+07;
2048;2048;32768;1;4;8;2;16;2;2.46175;4.49512e+08;
2048;2048;32768;1;4;8;2;16;4;2.1869;1.79571e+08;
2048;2048;32768;1;4;8;2;16;8;2.08428;8.14276e+07;
2048;2048;32768;1;4;8;2;16;16;1.93329;3.45658e+07;
2048;2048;32768;1;4;8;4;16;2;3.27894;2.6886e+08;
2048;2048;32768;1;4;8;4;16;4;3.11888;1.15427e+08;
